id;post_id;account_id;username;account_name;description;duration;published_at;permalink;post_type;views;reach;likes;shares;follows;comments;saves;created_at;updated_at
37580c82-593f-4043-a765-cf17b619deca;18082413287324629;17841403684060377;nadsongl;Nadson;O importante é participar;12;2026-01-01 14:48:00+00;https://www.instagram.com/reel/DS-vmwygQ4d/;Reel do Instagram;26028;15403;165;9;1;6;2;2026-02-07 20:41:04.849165+00;2026-02-16 18:21:34.745131+00
f04830fa-45a2-4678-9dcb-8c5d7ead4ae4;18061566191660806;17841403684060377;nadsongl;Nadson;;36;2027-03-02 19:19:00+00;https://www.instagram.com/reel/DUzGLPKATkw/;Reel do Instagram;21399;11282;2113;94;14;29;60;2026-02-16 18:21:34.745131+00;2026-02-16 18:21:34.745131+00
749a6d99-fa77-4f72-a9c5-61db41126213;17863877367584036;17841403985944781;eunikogl;Niko;Dessa vez o cliente era muito “inteligente”;0;2027-03-02 17:30:00+00;https://www.instagram.com/reel/DUy5vliETTv/;Reel do Instagram;539363;0;43724;2131;0;96;0;2026-02-16 18:21:34.745131+00;2026-02-16 18:21:34.745131+00
993abeab-1d42-4fb9-8dad-153bbaf4cded;18091128554045421;17841403684060377;nadsongl;Nadson;;7;2027-02-02 16:52:00+00;https://www.instagram.com/reel/DUwQwyQgUGG/;Reel do Instagram;2246;1392;95;3;0;5;3;2026-02-16 18:21:34.745131+00;2026-02-16 18:21:34.745131+00
53900eeb-f6ea-429e-865a-e376ec1f4bdf;18094859890770329;17841403684060377;nadsongl;Nadson;Antigamente disfarçava 🤦🏾‍♀️;0;2027-02-02 13:16:00+00;https://www.instagram.com/reel/DUv353NDiY7/;Reel do Instagram;2159;1599;162;18;1;1;6;2026-02-16 18:21:34.745131+00;2026-02-16 18:21:34.745131+00
2e251e15-5dde-4c2d-8a71-cfca0852a415;18027663971608782;17841403684060377;nadsongl;Nadson;;0;2027-01-02 13:29:00+00;https://www.instagram.com/reel/DUtUqJajnox/;Reel do Instagram;1853;1458;128;17;0;8;0;2026-02-16 18:21:34.745131+00;2026-02-16 18:21:34.745131+00
40229bd1-1da6-46b2-927c-b1d8b89e27ab;17998933205854903;17841403684060377;nadsongl;Nadson;Tem hora pra ser feliz? 😮‍💨;16;2026-12-02 22:02:00+00;https://www.instagram.com/reel/DUrqiC6jtYB/;Reel do Instagram;2039;1436;146;2;2;10;0;2026-02-16 18:21:34.745131+00;2026-02-16 18:21:34.745131+00
daecaa40-c113-42d0-9e3e-569eb1f446f7;18072351881407210;17841403684060377;nadsongl;Nadson;;0;2026-12-02 12:20:00+00;https://www.instagram.com/reel/DUqoAZLDiFy/;Reel do Instagram;2360;1580;146;20;2;8;7;2026-02-16 18:21:34.745131+00;2026-02-16 18:21:34.745131+00
ad57e98d-aa27-4f41-9234-917db1740068;17862999654592962;17841403684060377;nadsongl;Nadson;;0;2026-12-02 09:26:00+00;https://www.instagram.com/reel/DUqUFIADr3g/;Reel do Instagram;3051;2152;178;24;1;6;4;2026-02-16 18:21:34.745131+00;2026-02-16 18:21:34.745131+00
e14d215d-6d8f-4d17-bf94-452de2a23527;17848900605639953;17841403684060377;nadsongl;Nadson;Infelizmente não vou poder ir 😅;30;2026-12-02 08:55:00+00;https://www.instagram.com/reel/DUqQWSPjrm8/;Reel do Instagram;2272;1608;171;7;1;0;1;2026-02-16 18:21:34.745131+00;2026-02-16 18:21:34.745131+00
